asset_nm,similar_assets
옹정황제의 여인 74회.,"['옹정황제의 여인 36회', '옹정황제의 여인 73회.', '옹정황제의 여인 76회.', '옹정황제의 여인 38회', '옹정황제의 여인 33회', '옹정황제의 여인 71회.', '금의위: 5개의 옥새', '학려화정 39회.', '학려화정 39회', '청설루 28회']"
옹정황제의 여인 75회.,"['구소한야난 - 너의 온도 8회', '구소한야난 - 너의 온도 08회.', '구소한야난 - 너의 온도 08회', '옹정황제의 여인 76회.', '옹정황제의 여인 38회', '학려화정 39회.', '학려화정 39회', '학려화정 56회.', '학려화정 56회']"
옹정황제의 여인 76회.,"['옹정황제의 여인 75회.', '옹정황제의 여인 37회', '그녀는 예뻤다 16회', '오자룡이 간다 129회', '7일의 왕비 20회', '사내맞선 12회', '공항가는 길 16회', '옹정황제의 여인 33회', '옹정황제의 여인 71회.']"
킬러의 레스토랑,"['메카닉-리크루트', '황비홍: 무신임세영', '신상 출시 편스토랑 174회', '26일 밤의 기다림', '코만도', '에이전트 미스터 찬', '코드 8', '나쁜상사', '히트맨', 'TV동물농장 1090회']"
금의위: 천하제일검,"['황제의 검', '용주전기 무간도 38회', '용주전기 무간도 38회.', '은밀한 비밀', '폭설', '장미꽃 필 무렵 11회', '야야상견불식군 : 나의 스파이 신부 02회.', '원초적 본능2', '넘버스 프리미어 1회', '마징가Z 인피니티']"
념념무명 03회.,"['념념무명 1회', '념념무명 01회.', '념념무명 04회.', '념념무명 4회', '념념무명 06회.', '념념무명 6회', '념념무명 02회.', '념념무명 05회.', '야성부 1회']"
니급아적희환 01회.,"['니급아적희환 1회', '니급아적희환 18회', '니급아적희환 03회.', '니급아적희환 3회', '런민기TV', '런민기TV 01회', '니급아적희환 06회', '니급아적희환 6회', '운명과 분노 1회']"
니급아적희환 02회.,"['니급아적희환 02회', '니급아적희환 2회', '니급아적희환 11회', '니급아적희환 03회.', '니급아적희환 3회', '니급아적희환 07회', '니급아적희환 09회', '니급아적희환 12회', 'dele 2회', '암련, 귤생회남 31회']"
니급아적희환 03회.,"['니급아적희환 12회', '니급아적희환 02회.', '니급아적희환 2회', '니급아적희환 02회', '니급아적희환 07회', '니급아적희환 18회', '니급아적희환 09회', '니급아적희환 01회', '니급아적희환 01회.']"
니급아적희환 04회.,"['니급아적희환 04회', '니급아적희환 13회', '니급아적희환 18회', '지리산 16회', '니급아적희환 14회', '야인시대 119회', '니급아적희환 11회', '우당탕탕 캠핑가족', '진격의 거인 The Final Season 16회']"
니급아적희환 05회.,"['니급아적희환 05회', '니급아적희환 07회', '개는 훌륭하다 9회', '개는 훌륭하다 09회', '트랄랄라 브라더스 17회', '니급아적희환 6회', '니급아적희환 06회', '타요의 씽씽극장 시즌2 03회', '우당탕탕 에디의 실험실 20회']"
대발후 01회.,"['대발후 1회', '돌아왔어! 독거 소년 코타로 9회', '대발후 21회', '달의 요정 세일러 문 Super S 16회', '영상앨범 산 895회', '짱구는못말려 15기 08회', '연희공략: 건륭황제의여인 12회.', '연희공략: 건륭황제의여인 12회', '썬샤인 패밀리', '유리미인살  05회.']"
무림유협기 01회.,"['무림유협기 01회', '무림유협기 09회.', '무림유협기 9회', '무림유협기 08회.', '무림유협기 03회', '무림유협기 03회.', '무림유협기 21회', '무림유협기 21회.', '무림유협기 22회']"
무림유협기 02회.,"['무림유협기 02회', '무림유협기 2회', '무림유협기 05회.', '무림유협기 05회', '무림유협기 16회', '무림유협기 16회.', '무림유협기 18회', '무림유협기 18회.', '무림유협기 21회', '무림유협기 21회.']"
"부군청자중 : 부군님, 자중하시어요 01회.","['부군청자중 : 부군님, 자중하시어요 01회', '소세가인담담장 24회', '부군청자중 : 부군님, 자중하시어요 3회', '부군청자중 : 부군님, 자중하시어요 03회.', '부군청자중 : 부군님, 자중하시어요 03회', '이리지니TV 집짓기 26회', '라 메종: 욕망의 늪', '소설의 신', '극장판 이세계 콰르텟: 어나더 월드']"
"부군청자중 : 부군님, 자중하시어요 02회.","['부군청자중 : 부군님, 자중하시어요 02회', '부군청자중 : 부군님, 자중하시어요 05회.', '부군청자중 : 부군님, 자중하시어요 05회', '부군청자중 : 부군님, 자중하시어요 04회', '부군청자중 : 부군님, 자중하시어요 04회.', '바람개비', '부군청자중 : 부군님, 자중하시어요 07회', '부군청자중 : 부군님, 자중하시어요 7회', '부군청자중 : 부군님, 자중하시어요 07회.']"
"부군청자중 : 부군님, 자중하시어요 03회.","['부군청자중 : 부군님, 자중하시어요 3회', '부군청자중 : 부군님, 자중하시어요 07회.', '부군청자중 : 부군님, 자중하시어요 7회', '부군청자중 : 부군님, 자중하시어요 07회', '부군청자중 : 부군님, 자중하시어요 1회', '부군청자중 : 부군님, 자중하시어요 01회.', '부군청자중 : 부군님, 자중하시어요 01회', '부군청자중 : 부군님, 자중하시어요 04회', '부군청자중 : 부군님, 자중하시어요 04회.']"
사시호 : 황후의 계절 01회.,"['사시호 : 황후의 계절 1회', '금이야 옥이야 019회', '벽 속에 숨은 마법시계', '금이야 옥이야 103회', '기억의 밤', '옹정황제의 여인 33회', '옹정황제의 여인 71회.', '연희공략: 건륭황제의여인 4회', '연희공략: 건륭황제의여인 04회.', '행복의 알리바이: 사진']"
산해거수,"['어요지: 물속의괴물', '어쩌다 옥탑방', '방과후 설렘 X 소년 판타지 스페셜 1회', '취권: 전설의 시작', '피스트 오브 콘도르', '루팡의 딸 극장판', '듣고보니 그럴싸 12회', '호심 33회.', '호심 33회', '강룡신장 소걸아']"
삼생연기시청환 01회.,"['삼생연기시청환 01회', '삼생연기시청환 06회.', '삼생연기시청환 6회', '삼생연기시청환 4회', '삼생연기시청환 04회.', '삼생연기시청환 02회.', '삼생연기시청환 02회', '삼생연기시청환 2회', '삼생연기시청환 08회.']"
소녀대인 01회.,"['소녀대인 18회', '소녀대인 18회.', '소녀대인 04회.', '소녀대인 4회', '소녀대인 22회', '소녀대인 22회.', '소녀대인 8회', '소녀대인 08회.', '소녀대인 14회.']"
소녀대인 02회.,"['소녀대인 2회', '소녀대인 8회', '소녀대인 08회.', '소녀대인 20회', '소녀대인 20회.', '소녀대인 22회', '소녀대인 22회.', '소녀대인 1회', '소녀대인 01회.', '소녀대인 26회.']"
소녀대인 03회.,"['소녀대인 3회', '택천기 33회.', '택천기 33회', '청락 15회', '유리미인살  22회.', '디스커버리 스페셜: 어느 게임 개발자의 죽음 3회', '레벤느망', '99.9 -형사전문변호사- 1 10회', '우국의 모리아티 11회', '일불소심묘상니 : 넌 내게 반했냥 05회']"
소녀대인 04회.,"['소녀대인 4회', '소녀대인 1회', '소녀대인 01회.', '소녀대인 22회', '소녀대인 22회.', '소녀대인 8회', '소녀대인 08회.', '소녀대인 5회', '소녀대인 05회.', '소녀대인 14회']"
소녀대인 05회.,"['소녀대인 5회', '소녀대인 14회', '소녀대인 14회.', '소녀대인 8회', '소녀대인 08회.', '소녀대인 23회', '소녀대인 23회.', '소녀대인 4회', '소녀대인 04회.', '소녀대인 11회']"
소녀대인 06회.,"['소녀대인 6회', '소녀대인 16회', '소녀대인 16회.', '소녀대인 12회.', '소녀대인 12회', '소녀대인 14회', '소녀대인 14회.', '소녀대인 11회', '소녀대인 11회.', '소녀대인 05회.']"
소녀대인 07회.,"['소녀대인 14회.', '소녀대인 14회', '은혼2: 규칙은 깨라고 있는 것', '소녀대인 6회', '소녀대인 06회.', '소녀대인 5회', '소녀대인 05회.', '소녀대인 22회', '소녀대인 22회.', '소녀대인 1회']"
소녀대인 08회.,"['소녀대인 22회.', '소녀대인 22회', '소녀대인 01회.', '소녀대인 1회', '소녀대인 20회.', '소녀대인 20회', '소녀대인 05회.', '소녀대인 5회', '소녀대인 4회']"
소녀대인 09회.,"['소녀대인 22회.', '소녀대인 22회', '소녀대인 1회', '소녀대인 01회.', '미나토 상사 코인 세탁소2 4회', '소녀대인 04회.', '소녀대인 4회', '소녀대인 08회.', '소녀대인 8회']"
소녀대인 10회.,"['소녀대인 10회', '소녀대인 8회', '소녀대인 08회.', '소녀대인 14회', '소녀대인 14회.', '소녀대인 05회.', '소녀대인 5회', '소녀대인 22회', '소녀대인 22회.', '소녀대인 29회.']"
소녀대인 11회.,"['소녀대인 11회', '소녀대인 14회.', '소녀대인 14회', '소녀대인 06회.', '소녀대인 6회', '소녀대인 12회.', '소녀대인 12회', '소녀대인 05회.', '소녀대인 5회', '소녀대인 16회.']"
소녀대인 12회.,"['소녀대인 06회.', '소녀대인 6회', '소녀대인 16회', '소녀대인 16회.', '소녀대인 11회.', '소녀대인 11회', '소녀대인 14회', '소녀대인 14회.', '소녀대인 5회']"
소녀대인 13회.,"['소녀대인 28회.', '미자무강 17회', '소녀대인 11회.', '소녀대인 11회', '땅속에', '장야 2  6회', '소년강호 12회', '유리미인살  2회', '소녀대인 18회']"
소녀대인 14회.,"['소녀대인 11회', '소녀대인 11회.', '소녀대인 5회', '소녀대인 05회.', '소녀대인 1회', '소녀대인 01회.', '소녀대인 06회.', '소녀대인 6회', '소녀대인 16회']"
소녀대인 15회.,"['소녀대인 15회', '소녀대인 19회.', '소녀대인 19회', '소녀대인 18회', '소녀대인 18회.', '소녀대인 17회.', '소녀대인 17회', '소녀대인 22회', '소녀대인 22회.', '잠자는 숲속의 공주']"
소녀대인 16회.,"['소녀대인 16회', '소녀대인 06회.', '소녀대인 6회', '소녀대인 12회.', '소녀대인 12회', '소녀대인 14회', '소녀대인 14회.', '소녀대인 11회.', '소녀대인 11회', '소녀대인 5회']"
소녀대인 17회.,"['소녀대인 17회', '소녀대인 19회', '소녀대인 19회.', '소녀대인 15회.', '소녀대인 15회', '소녀대인 18회', '소녀대인 18회.', '바보 온달과 평강 공주', '오자룡이 간다 035회', '오자룡이 간다 35회']"
