index,asset_nm,ct_cl,genre_of_ct_cl,SMRY,ACTR_DISP,disp_rtm,category_l,category_h,series_nm,clean_asset_nm,image
36,가면의 여왕 03회,TV드라마,기타,,"김선아,오윤아,신은정,유선",4320.0,TV드라마,TV드라마,,가면의 여왕,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ySx7BSxaEh7YqGo7iLWRVsqOwQQ.jpg
37,가면의 여왕 04회,TV드라마,기타,"초조한 재이는 유나에게 반격하며 가면의 실마리를 찾기 위해 안간힘을 쓰지만, 유정의 결혼식에서 한 통의 문자를 받고 공포에 휩싸인다.","김선아,오윤아,신은정,유선",4320.0,TV드라마,TV드라마,,가면의 여왕,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ySx7BSxaEh7YqGo7iLWRVsqOwQQ.jpg
38,가면의 여왕 05회,TV드라마,기타,"마침내 본색을 드러내기 시작한 가면의 정체. 재이는 그에 맞서기 위해 유나와의 공조를 결심하는 한편, 유정과 해미는 재이의 배신에 분노한다.","김선아,오윤아,신은정,유선",4200.0,TV드라마,TV드라마,,가면의 여왕,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ySx7BSxaEh7YqGo7iLWRVsqOwQQ.jpg
39,가면의 여왕 06회,TV드라마,기타,유나는 제혁이 회유하자 마음이 흔들리기 시작하고 유정과 해미는 계획이 어긋나자 재이에게서 등을 돌린다. 가면의 남자를 잡기 위해 혈안이 된 재이는 과감한 공격을 시도한다.,"김선아,오윤아,신은정,유선",4320.0,TV드라마,TV드라마,,가면의 여왕,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ySx7BSxaEh7YqGo7iLWRVsqOwQQ.jpg
40,법쩐 01회,TV드라마,기타,법과 쩐의 카르텔에 맞서 싸우는 돈장사꾼 은용과 법률기술자 준경의 통쾌한 복수극.,"이선균,문채원,강유석,박훈,김홍파,김미숙",3960.0,TV드라마,TV드라마,,법쩐,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/1JUI0A3a1Q2HH8J0HotpXQNbxNv.jpg
41,법쩐 12회,TV드라마,기타,불의의 일격을 당한 은용과 준경. 그러나 그들에겐 마지막 카드가 남아있다.법과 쩐의 카르텔에 맞선 싸움의 최종장에서 숨겨왔던 진짜 계획이 시작되는데...,"이선균,문채원,강유석,박훈,김홍파,김미숙",3780.0,TV드라마,TV드라마,,법쩐,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/1JUI0A3a1Q2HH8J0HotpXQNbxNv.jpg
42,비밀의 집 124회,TV드라마,기타,,"서하준,이영은,정헌,강별,이승연,장항선,윤복인,박충선,김난희,박예린,윤아정",1740.0,TV드라마,TV드라마,,비밀의 집,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/wNN9hJDV45BF2PiJQQVwBCiqLIl.jpg
43,사랑의 이해 01회,TV드라마,기타,"KCU은행 영포점의 에이스 하상수. 그런 그의 유일한 변수, 영포점 여신 안수영. 신입행원 시절부터 수영을 지켜만 봐오기 3년째, 상수는 용기를 내어 저녁 약속을 신청하는데...","유연석,문가영,금새록,정가람,문태유,정재성",4620.0,TV드라마,TV드라마,,사랑의 이해,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/dtqNXe8whqJPbEEVluGThB0jQa3.jpg
44,사랑의 이해 02회,TV드라마,기타,"상수는 수영의 마음이 누구에게 향하는지 확인하고 싶지만, 그날 이후 수영은 차갑기만 하다. 관계는 다시 원점으로 돌아오는 듯했고, 수영의 소개팅 소식까지 들려오자 상수의 신경은 온통 수영에게 쏠린다. 상수는 수영을 향했던 자기 마음의 크기를 조금씩 실감하는데...","유연석,문가영,금새록,정가람,문태유,정재성",4200.0,TV드라마,TV드라마,,사랑의 이해,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/dtqNXe8whqJPbEEVluGThB0jQa3.jpg
45,런닝맨 662회,TV 연예/오락,기타,런닝 스카우트. 가짜의 세계에 초대된 멤버들. 모든 걸 계획한 한 명의 빌런. 그리고 모두를 구할 단 한 명의 대장. 의심하는 사이 탈출구는 닫힌다! 런닝 스카우트 가짜의 세계에서 탈출구가 닫히기 전 빌런을 찾아라!,"유재석,지석진,김종국,하하,송지효,양세찬,전소민",5580.0,예능,TV방송,,런닝맨,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ArntYxWZXArwegRh9IaOq2KD1JR.jpg
